ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
ecp,La4.0Li4.0O8.0,14,5.874,6.2129,5.8481,90.0,102.453,90.0,1e-15,10.1016/j.ssi.2015.09.001,Match,
me3,La3.6Sr0.4Li4.0O8.0,14,5.8748,6.2152,5.8521,90.0,102.478,90.0,6.29e-10,10.1016/j.ssi.2015.09.001,Match,
zs0,La4.0Li3.04Mg0.32O8.0,14,5.875,6.212,5.849,90.0,102.451,90.0,7.27e-10,10.1016/j.ssi.2015.09.001,Match,
lrh,Li10.0V8.0P12.0O48.0,14,8.45678,8.62076,11.8958,90.0,90.2366,90.0,1.9e-07,10.1021/cm034802f,Match,
1xt,Li8.0Sb8.0O16.0,14,4.855,17.857,5.5771,90.0,90.061,90.0,1e-15,10.1021/ic201183e,Match,
kbo,Li8.0Sr8.0Al4.0P12.0O48.0,14,4.945,22.088,8.632,90.0,91.47,90.0,1e-15,10.1016/j.jssc.2016.08.006,Match,
5zv,Li16.0Zn4.0P8.0O32.0,14,8.1199,10.2419,8.10549,90.0,104.859,90.0,5.55e-18,10.1021/acs.chemmater.7b05139,Match,"**1. Method Name:** Solid State Reaction

**2. Procedure Summary:**
Stoichiometric amounts of precursors (Li2CO3, ZnO, NH4H2PO4, and Ga2O3 for gallium-substituted samples) were homogeneously mixed by ball-milling for 20 minutes using stainless-steel balls in a stainless-steel vial. The resulting powder was then pressed into pellets. These pellets were placed in alumina boats and heated with a controlled ramp rate. After reaching the target temperature and holding for a specific duration, the samples were rapidly cooled by quenching in air.

**3. Key Conditions:**
*   **Precursors:** Li2CO3, ZnO, NH4H2PO4, Ga2O3
*   **Mixing:** Ball-milling for 20 minutes (SPEX-8000M mixer-miller, stainless-steel balls/vial)
*   **Heating Ramp:** 1 °C/min
*   **Sintering Temperature:** 800 °C
*   **Dwell Time:** 36 hours
*   **Atmosphere:** Air (implied by quenching in air)
*   **Cooling Method:** Quenching in air"
5bz,Li12.0B4.0N8.0,14,5.1502,7.0824,6.7908,90.0,112.956,90.0,8.7e-08,10.1016/0022-4596(87)90135-6,Match,
883,Li4.0Al4.0H16.0,14,4.8254,7.804,7.8968,90.0,112.268,90.0,8.7e-09,10.1063/1.3356981,Match,
uu4,Li8.0V8.0O24.0,15,10.1597,8.4155,5.8843,90.0,110.505,90.0,2.05e-09,10.1006/jssc.2000.9009,Match,
tws,Li24.0Zr8.0O28.0,15,10.44,5.991,10.204,90.0,100.25,90.0,5.2e-10,10.3103/s1062873810050199,Match,
l9v,Li36.0Al12.0F72.0,15,14.201,8.387,9.861,90.0,94.07,90.0,5e-07,10.1149/2.012206eel,Match,
t0h,Li8.0Zr4.0O12.0,15,5.4163,9.0262,5.4156,90.0,112.615,90.0,6.1e-10,10.1016/0167-2738(81)90021-7,Match,
4kt,Li8.0Cr4.0Cl16.0,15,7.446,10.162,10.172,90.0,90.0,132.11,1e-15,10.1016/0022-4596(88)90301-5,Match,
xas,Li16.0Sn8.0S24.0,15,6.3964,11.0864,12.4048,90.0,99.867,90.0,1.5e-05,10.1021/cm5037524,Match,
kfp,Li16.0Ba8.0P16.0O56.0,15,7.147,12.283,14.016,90.0,90.49,90.0,1.59881e-17,10.1007/s11581-014-1261-6,Match,
qy4,Li12.0Na20.0Ti8.0S32.0,15,17.5783,9.6404,12.0796,90.0,133.405,90.0,8.8e-06,10.1016/j.jssc.2008.01.023,Match,
00x,Li4.0Gd4.0P16.0O48.0,15,16.386,7.059,9.677,90.0,126.12,90.0,1e-15,10.1016/j.jssc.2006.06.003,Match,
ard,Li8.0Ta16.0P8.0O64.0,15,9.71545,11.5358,10.6971,90.0,90.0355,90.0,0.0016,10.1039/c8ta09170f,Match,
9wf,Li12.0Er4.0I24.0,15,7.413,12.838,14.2,90.0,100.01,90.0,0.00065,10.1021/acsaem.0c00147,Match,
dmq,Li24.0Al8.0S24.0,15,14.319,11.9804,6.627,90.0,116.923,90.0,1.31e-08,10.1021/acs.chemmater.9b03230,Match,
uox,Li7.4Zn1.4Ga0.6P4.0O16.0,19,4.9391,6.4803,10.1468,90.0,90.0,90.0,5.65e-12,10.1021/acs.chemmater.7b05139,Match,"**1. Method Name:** Solid State Reaction

**2. Procedure Summary:**
Stoichiometric amounts of precursors (Li2CO3, ZnO, NH4H2PO4, and Ga2O3 for gallium-substituted samples) were homogeneously mixed by ball-milling for 20 minutes using stainless-steel balls in a stainless-steel vial. The resulting powder was then pressed into pellets. These pellets were placed in alumina boats and heated with a controlled ramp rate. After reaching the target temperature and holding for a specific duration, the samples were rapidly cooled by quenching in air.

**3. Key Conditions:**
*   **Precursors:** Li2CO3, ZnO, NH4H2PO4, Ga2O3
*   **Mixing:** Ball-milling for 20 minutes (SPEX-8000M mixer-miller, stainless-steel balls/vial)
*   **Heating Ramp:** 1 °C/min
*   **Sintering Temperature:** 800 °C
*   **Dwell Time:** 36 hours
*   **Atmosphere:** Air (implied by quenching in air)
*   **Cooling Method:** Quenching in air"
joc,Li6.0P2.0S8.0,31,7.70829,6.53521,6.1365,90.0,90.0,90.0,2.6e-07,10.1021/ja3110895,Match,
mq1,Li6.0Sb2.0S8.0,31,7.9645,6.8404,6.3774,90.0,90.0,90.0,4.8e-09,10.1016/j.ssi.2019.01.017,Match,
ssv,Li6.0P0.4V1.6O8.0,31,6.282,5.4021,4.9289,90.0,90.0,90.0,1.31e-13,10.1021/acs.chemmater.8b01504,No Match,"**1. Method Name:**
Solid-State Synthesis

**2. Procedure Summary:**
The LISICON materials were synthesized using a solid-state reaction method. Appropriate precursor mixtures of lithium carbonate (Li2CO3), diammonium hydrogen phosphate ((NH4)2HPO4), vanadium pentoxide (V2O5), and germanium dioxide (GeO2) were prepared. For Li12.0P4.0O16.0 (Li3PO4) and Li12.8Ge0.8P3.2O16.0 (Li3.2Ge0.2P0.8O4), a 5% excess of lithium carbonate was used, while all other compositions were prepared with stoichiometric amounts of precursors. These mixtures were thoroughly ground using a mortar and pestle. The resulting powder mixtures were then calcined. For Li12.0P2.4V1.6O16.0 (Li3V0.4P0.6O4), an additional calcination step was performed to achieve a phase-pure solid solution. After calcination, the powders were pressed into dense pellets. Finally, these pellets were sintered to form the final solid-state electrolyte materials.

**3. Key Conditions:**
*   **Precursor Mixing:** Ground with mortar and pestle.
*   **Calcination (General):** 800 °C for 10 hours in dry air, with a ramp rate of 5 °C/min for both heating and cooling.
*   **Additional Calcination (for Li12.0P2.4V1.6O16.0 only):** 900 °C (duration not specified) to achieve phase purity, performed before pelletization and sintering.
*   **Pelletization:** Pressed at 1 GPa into pellets with a 6 mm diameter and 1-1.5 mm thickness.
*   **Sintering:** 800 °C for 10 hours (likely in dry air, as per calcination atmosphere), with a ramp rate of 5 °C/min for both heating and cooling."
h6c,Li6.0V2.0O8.0,31,6.3278,5.4448,4.9467,90.0,90.0,90.0,9.2e-14,10.1021/acs.chemmater.8b01504,Close Match,"**1. Method Name:**
Solid-State Synthesis

**2. Procedure Summary:**
The LISICON materials were synthesized using a solid-state reaction method. Appropriate precursor mixtures of lithium carbonate (Li2CO3), diammonium hydrogen phosphate ((NH4)2HPO4), vanadium pentoxide (V2O5), and germanium dioxide (GeO2) were prepared. For Li12.0P4.0O16.0 (Li3PO4) and Li12.8Ge0.8P3.2O16.0 (Li3.2Ge0.2P0.8O4), a 5% excess of lithium carbonate was used, while all other compositions were prepared with stoichiometric amounts of precursors. These mixtures were thoroughly ground using a mortar and pestle. The resulting powder mixtures were then calcined. For Li12.0P2.4V1.6O16.0 (Li3V0.4P0.6O4), an additional calcination step was performed to achieve a phase-pure solid solution. After calcination, the powders were pressed into dense pellets. Finally, these pellets were sintered to form the final solid-state electrolyte materials.

**3. Key Conditions:**
*   **Precursor Mixing:** Ground with mortar and pestle.
*   **Calcination (General):** 800 °C for 10 hours in dry air, with a ramp rate of 5 °C/min for both heating and cooling.
*   **Additional Calcination (for Li12.0P2.4V1.6O16.0 only):** 900 °C (duration not specified) to achieve phase purity, performed before pelletization and sintering.
*   **Pelletization:** Pressed at 1 GPa into pellets with a 6 mm diameter and 1-1.5 mm thickness.
*   **Sintering:** 800 °C for 10 hours (likely in dry air, as per calcination atmosphere), with a ramp rate of 5 °C/min for both heating and cooling."
bsa,Li4.0Ga4.0O8.0,33,5.402,6.372,5.007,90.0,90.0,90.0,2.4e-14,10.1007/bf00549810,Match,
mde,Li4.0B24.0O36.0F4.0,33,7.65545,8.53175,10.7894,90.0,90.0,90.0,1e-15,10.1002/zaac.200900056,Match,
1e9,Li12.0Sb4.0S12.0,33,7.9671,6.7883,10.0912,90.0,90.0,90.0,1e-09,10.1002/zaac.201200277,Match,
an2,Li24.0Si4.0O16.0Cl8.0,33,10.5204,6.0756,9.953,90.0,90.0,90.0,1e-10,10.1021/acs.chemmater.1c00157,Match,
tka,Li4.0Si8.0N12.0,36,9.186,5.302,4.776,90.0,90.0,90.0,6.17e-08,10.1016/0167-2738(87)90119-6,Match,
cdk,Li8.0P4.0O8.0N4.0,36,9.0692,5.3999,4.6856,90.0,90.0,90.0,1e-15,10.1016/j.ssi.2012.12.013,Match,
fwz,Li8.0Si4.0S12.0,36,6.735,11.664,5.926,90.0,90.0,90.0,2e-06,10.1016/0025-5408(89)90053-6,Close Match,
hln,Li8.0Ga16.0Ge8.0S48.0,43,11.943,22.59,6.805,90.0,90.0,90.0,3.8e-08,10.1016/j.ssi.2014.04.015,No Match,
cy2,La1.28Li0.16Ti2.0O6.0,47,3.8753,3.8638,7.7901,90.0,90.0,90.0,0.000335,10.1016/s0167-2738(00)00761-x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The La$_{2/3-x}$Li$_{3x}$TiO$_3$ perovskite materials were synthesized using a conventional solid-state reaction method. Initially, lanthanum oxide (La$_2$O$_3$) was pre-heated. Stoichiometric amounts of lithium carbonate (Li$_2$CO$_3$), the pre-heated La$_2$O$_3$, and titanium dioxide (TiO$_2$) were thoroughly ground together in an agate mortar. This mixture was then calcined to decompose the carbonate and eliminate carbon dioxide. The resulting product was reground, followed by an intermediate calcination step. Subsequently, the powder was cold-pressed into cylindrical pellets. These pellets then underwent a final high-temperature sintering step. For most samples, slow cooling was employed, but for specific compositions (e.g., x=0.167), quenching into liquid nitrogen from the final sintering temperature was also performed for comparative studies.

**Key Conditions:**
*   **Precursors:** Li$_2$CO$_3$ (Merck), La$_2$O$_3$ (Aldrich 99.99%), TiO$_2$ (Aldrich 99%).
*   **La$_2$O$_3$ Pre-treatment:** Heated at 700°C prior to weighing.
*   **First Calcination (Powder):** 800°C for 4 hours.
*   **Intermediate Calcination (Powder):** 1150°C for 12 hours.
*   **Pressing:** Cold-pressed at 150 MPa into cylindrical pellets.
*   **Final Sintering (Pellets):** 1350°C for 6 hours.
*   **Heating Rate:** 1°C/min for all heating treatments.
*   **Atmosphere:** Not explicitly stated for synthesis; typically air for such oxide solid-state reactions. (A dry N$_2$ flow was used for electrical conductivity measurements, not synthesis).
*   **Cooling:** Slow cooling was generally used. For specific samples (e.g., La$_{1.0}$Li$_{1.0}$Ti$_{2.0}$O$_{6.0}$ which corresponds to x=0.167), quenching from 1350°C into liquid nitrogen was also performed."
5tl,La1.24Li0.28Ti2.0O6.0,47,3.8757,3.8655,7.7845,90.0,90.0,90.0,0.000442,10.1016/s0167-2738(00)00761-x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The La$_{2/3-x}$Li$_{3x}$TiO$_3$ perovskite materials were synthesized using a conventional solid-state reaction method. Initially, lanthanum oxide (La$_2$O$_3$) was pre-heated. Stoichiometric amounts of lithium carbonate (Li$_2$CO$_3$), the pre-heated La$_2$O$_3$, and titanium dioxide (TiO$_2$) were thoroughly ground together in an agate mortar. This mixture was then calcined to decompose the carbonate and eliminate carbon dioxide. The resulting product was reground, followed by an intermediate calcination step. Subsequently, the powder was cold-pressed into cylindrical pellets. These pellets then underwent a final high-temperature sintering step. For most samples, slow cooling was employed, but for specific compositions (e.g., x=0.167), quenching into liquid nitrogen from the final sintering temperature was also performed for comparative studies.

**Key Conditions:**
*   **Precursors:** Li$_2$CO$_3$ (Merck), La$_2$O$_3$ (Aldrich 99.99%), TiO$_2$ (Aldrich 99%).
*   **La$_2$O$_3$ Pre-treatment:** Heated at 700°C prior to weighing.
*   **First Calcination (Powder):** 800°C for 4 hours.
*   **Intermediate Calcination (Powder):** 1150°C for 12 hours.
*   **Pressing:** Cold-pressed at 150 MPa into cylindrical pellets.
*   **Final Sintering (Pellets):** 1350°C for 6 hours.
*   **Heating Rate:** 1°C/min for all heating treatments.
*   **Atmosphere:** Not explicitly stated for synthesis; typically air for such oxide solid-state reactions. (A dry N$_2$ flow was used for electrical conductivity measurements, not synthesis).
*   **Cooling:** Slow cooling was generally used. For specific samples (e.g., La$_{1.0}$Li$_{1.0}$Ti$_{2.0}$O$_{6.0}$ which corresponds to x=0.167), quenching from 1350°C into liquid nitrogen was also performed."
u2y,La1.19Li0.43Ti2.0O6.0,47,3.8671,3.8654,7.7727,90.0,90.0,90.0,0.000853,10.1016/s0167-2738(00)00761-x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The La$_{2/3-x}$Li$_{3x}$TiO$_3$ perovskite materials were synthesized using a conventional solid-state reaction method. Initially, lanthanum oxide (La$_2$O$_3$) was pre-heated. Stoichiometric amounts of lithium carbonate (Li$_2$CO$_3$), the pre-heated La$_2$O$_3$, and titanium dioxide (TiO$_2$) were thoroughly ground together in an agate mortar. This mixture was then calcined to decompose the carbonate and eliminate carbon dioxide. The resulting product was reground, followed by an intermediate calcination step. Subsequently, the powder was cold-pressed into cylindrical pellets. These pellets then underwent a final high-temperature sintering step. For most samples, slow cooling was employed, but for specific compositions (e.g., x=0.167), quenching into liquid nitrogen from the final sintering temperature was also performed for comparative studies.

**Key Conditions:**
*   **Precursors:** Li$_2$CO$_3$ (Merck), La$_2$O$_3$ (Aldrich 99.99%), TiO$_2$ (Aldrich 99%).
*   **La$_2$O$_3$ Pre-treatment:** Heated at 700°C prior to weighing.
*   **First Calcination (Powder):** 800°C for 4 hours.
*   **Intermediate Calcination (Powder):** 1150°C for 12 hours.
*   **Pressing:** Cold-pressed at 150 MPa into cylindrical pellets.
*   **Final Sintering (Pellets):** 1350°C for 6 hours.
*   **Heating Rate:** 1°C/min for all heating treatments.
*   **Atmosphere:** Not explicitly stated for synthesis; typically air for such oxide solid-state reactions. (A dry N$_2$ flow was used for electrical conductivity measurements, not synthesis).
*   **Cooling:** Slow cooling was generally used. For specific samples (e.g., La$_{1.0}$Li$_{1.0}$Ti$_{2.0}$O$_{6.0}$ which corresponds to x=0.167), quenching from 1350°C into liquid nitrogen was also performed."
ku9,Li0.4Na0.1La0.5Nb2.0O6.0,47,3.903,3.904,7.854,90.0,90.0,90.0,9.92e-06,10.1134/s002016851103006x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The Li$_{0.5-y}$Na$_{y}$La$_{0.5}$Nb$_{2}$O$_{6}$ samples were prepared via a multi-step solid-state reaction method. Stoichiometric amounts of the starting chemical powders (La$_{2}$O$_{3}$, Nb$_{2}$O$_{5}$, Li$_{2}$CO$_{3}$, and Na$_{2}$CO$_{3}$) were mixed. This powder mixture was then pressed into pellets and subjected to an initial two-stage heat treatment. An intermediate grinding step was performed between these two firing stages. Following these calcination steps, the resulting powders were homogenized by grinding in a vibratory mill with ethanol, then dried. An aqueous 5% solution of polyvinyl alcohol was subsequently added as a plasticizer. This mixture was pressed into green compacts (pellets), which were then subjected to a final high-temperature sintering step.

**Key Conditions:**
*   **Precursors:** LO-1 La$_{2}$O$_{3}$, extrapure-grade Nb$_{2}$O$_{5}$, Li$_{2}$CO$_{3}$, Na$_{2}$CO$_{3}$.
*   **First Firing:** 970 K for 4 hours.
*   **Second Firing:** 1320 K for 2 hours, with an intermediate grinding step.
*   **Homogenization:** Grinding in a vibratory mill with ethanol, followed by drying.
*   **Plasticizer:** 5% aqueous solution of polyvinyl alcohol.
*   **Green Compacts:** Pressed to 14 mm diameter at 80 MPa.
*   **Final Sintering:** 1470 to 1550 K for 2 hours.
*   **Atmosphere:** Not explicitly stated, but implied to be ambient (air) for all heating steps."
